"","season","player.name","player.position","player.age","player.nationality","from.name","from.country","from.league","to.name","to.country","to.league","transfer.value"
"1923","2019/2020","Goran Popovic","Right-Back","30","Bosnia-Herzegovina","TOSK Tesanj","Bosnia-Herzegovina","Prva liga FBIH","","","","?"
"1924","2019/2020","Seung-hun Oh","Goalkeeper","31","Korea, South","Ulsan","Korea, South","K League 1","Jeju Utd.","Korea, South","K League 1","?"
"1925","2019/2020","Igor Zonjic","Centre-Back","27","Montenegro","Terengganu FC","Malaysia","Super League","AGMG Olmaliq","Uzbekistan","Superliga","?"
"1926","2019/2020","Ivan Trubochkin","Left-Back","26","Ukraine","Chornomorets","Ukraine","Persha Liha","Olimpik Donetsk","Ukraine","Premier Liga","?"
"1927","2019/2020","Max Christiansen","Defensive Midfield","22","Germany","Arm. Bielefeld","Germany","2. Bundesliga","Waldh. Mannheim","Germany","3. Liga","?"
"1928","2019/2020","Filippo Berra","Right-Back","24","Italy","Pro Vercelli","Italy","Serie C - A","Bari","Italy","Serie C - C","?"
"1929","2019/2020","Ben Osborn","Left Midfield","24","England","Nottm Forest","England","Championship","Sheffield Utd.","England","Premier League","?"
"1930","2019/2020","Ferhad Ayaz","Left Winger","24","Sweden","Dalkurd","Sweden","Superettan","Degerfors","Sweden","Superettan","?"
"1931","2019/2020","Laurent Abergel","Defensive Midfield","26","France","AS Nancy","France","Ligue 2","FC Lorient","France","Ligue 2","?"
"1932","2019/2020","Nik Lorbek","Defensive Midfield","23","Slovenia","NS Mura","Slovenia","Prva Liga","Saint Gilloise","Belgium","Proximus League","?"
"1933","2019/2020","Lukasz Moneta","Left Winger","25","Poland","Legia Warszawa","Poland","Ekstraklasa","GKS Tychy","Poland","1 Liga","?"
"1934","2019/2020","Nico Hidalgo","Right Winger","27","Spain","Cádiz CF","Spain","LaLiga2","Racing","Spain","LaLiga2","?"
"1935","2019/2020","Yücel Candemir","Left Winger","24","Turkey","Etimesgut Bld","Turkey","2.Lig Kirmizi","Gölcükspor","Turkey","3.Lig Grup 3","?"
"1936","2019/2020","Giacomo Calò","Defensive Midfield","22","Italy","Juve Stabia","Italy","Serie B","Genoa","Italy","Serie A","?"
"1937","2019/2020","Zak Jules","Centre-Back","22","Scotland","Macclesfield","England","League Two","Walsall","England","League Two","?"
"1938","2019/2020","Antonio Negro","Centre-Forward","21","Italy","SSC Napoli","Italy","Serie A","Pontedera","Italy","Serie C - A","?"
"1939","2019/2020","Jean-Claude Billong","Centre-Back","25","France","Benevento","Italy","Serie B","Salernitana","Italy","Serie B","?"
"1940","2019/2020","Ciro Sicuro","Right Midfield","19","Italy","Palermo U19","Italy","","Rende","Italy","Serie C - C","?"
"1941","2019/2020","Luca Scimia","Central Midfield","20","New Zealand","Pescara U19","Italy","Primavera 1","Rende","Italy","Serie C - C","?"
"1942","2019/2020","Alaa Jafar","Right-Back","24","Israel","Hapoel Ikhsal","Israel","","Hapoel Acre","Israel","Liga Leumit","?"
"1943","2019/2020","Fabio Maistro","Central Midfield","21","Italy","Rieti","Italy","Serie C - C","Salernitana","Italy","Serie B","?"
"1944","2019/2020","Miroslav Petko","Right-Back","24","Slovakia","Lok. Kosice","Slovakia","","Bardejov","Slovakia","II. Liga","?"
"1945","2019/2020","Mohammadreza Molaei","Central Midfield","","Iran","Caspian Qazvin","Iran","","Omid Razakan","Iran","","?"
"1946","2019/2020","Diego García","Left Midfield","22","Uruguay","Boston River","Uruguay","Torneo Intermedio","Estudiantes","Argentina","Superliga","?"
"1947","2019/2020","Paulo Marcelo","Centre-Forward","23","Brazil","Värnamo","Sweden","Division 1 Södra","GAIS","Sweden","Superettan","?"
"1948","2019/2020","Raimondo Lucera","Second Striker","18","Italy","Palermo U19","Italy","","Rende","Italy","Serie C - C","?"
"1949","2019/2020","Emre Baysal","Centre-Back","24","Turkey","Bagcilar SK","Turkey","","Erzin Spor","Turkey","3.Lig Grup 1","?"
"1950","2019/2020","Marek Rigo","Central Midfield","21","Slovakia","Slovan B","Slovakia","II. Liga","Komarno","Slovakia","II. Liga","?"
"1951","2019/2020","Ido Sharon","Defender","25","Israel","H. Ramat Gan","Israel","Liga Leumit","Ness Ziona","Israel","Ligat ha'Al","?"
"1952","2019/2020","Won-jae Park","Left-Back","25","Korea, South","Jeonbuk Motors","Korea, South","K League 1","Seongnam FC","Korea, South","K League 1","?"
"1953","2019/2020","Iván Luquetta","Right Winger","23","Colombia","CF Barranquilla","Colombia","Torneo Águila","Junior FC","Colombia","Liga Águila II","?"
"1954","2019/2020","Farivar Mohebi","Right-Back","26","Iran","Caspian Qazvin","Iran","","Omid Razakan","Iran","","?"
"1955","2019/2020","Nikoloz Khachidze","Right Midfield","20","Georgia","FC Telavi","Georgia","","FC Zugdidi","Georgia","","?"
"1956","2019/2020","Marek Beseda","Defender","21","Slovakia","Zlate Moravce","Slovakia","Fortuna Liga","Malzenice","Slovakia","","?"
"1957","2019/2020","Walid Darwish","Forward","23","Israel","B TLV Bat Yam","Israel","Liga Leumit","M. Zur Shalom","Israel","","?"
"1958","2019/2020","Can Sevinc","Goalkeeper","24","Turkey","Altay SK","Turkey","1.Lig","Turgutluspor ","Turkey","3.Lig Grup 2","?"
"1959","2019/2020","Iker Casillas","Goalkeeper","38","Spain","FC Porto","Portugal","Liga NOS","","","","-"
"1960","2019/2020","Grigoris Makos","Defensive Midfield","32","Greece","","","","PS Kalamata","Greece","","-"
"1961","2019/2020","Alexander Nadj","Goalkeeper","32","Sweden","","","","Häcken","Sweden","Allsvenskan","-"
"1962","2019/2020","Ivo Pekalski","Defensive Midfield","28","Sweden","","","","Norrby","Sweden","Superettan","-"
"1963","2019/2020","Vladimirs Kamess","Right Winger","30","Latvia","SKA Khabarovsk","Russia","1.Division","","","","-"
"1964","2019/2020","Samir Ujkani","Goalkeeper","31","Kosovo","C. Rizespor U21","Turkey","","","","","-"
"1965","2019/2020","Youssef Sekour","Defensive Midfield","31","Morocco","","","","Al-Yarmouk","Kuwait","","-"
"1966","2019/2020","Wellington Reis","Centre-Back","30","Brazil","Vitória-ES","Brazil","","","","","-"
"1967","2019/2020","Tartá","Attacking Midfield","30","Brazil","Boavista SC","Brazil","","","","","-"
"1968","2019/2020","Cristo Martín","Right Winger","32","Spain","FC Cartagena","Spain","2ª B - Grupo IV","","","","-"
"1969","2019/2020","Thomas Heurtaux","Centre-Back","31","France","Ankaragücü","Turkey","Süper Lig","","","","-"
"1970","2019/2020","Lee Addy","Centre-Back","29","Ghana","","","","FS Stars","South Africa","","-"
"1971","2019/2020","Ibrahim Sissoko","Right Winger","27","Cote d'Ivoire","Eskisehirspor","Turkey","1.Lig","","","","-"
"1972","2019/2020","Jean Marie Dongou","Centre-Forward","24","Cameroon","CD Lugo","Spain","LaLiga2","","","","-"
"1973","2019/2020","Michal Efir","Centre-Forward","27","Poland","Chelmianka","Poland","3 Liga - Group IV","","","","-"
"1974","2019/2020","Federico Platero","Centre-Back","28","Uruguay","Criciúma EC","Brazil","Série B","","","","-"
"1975","2019/2020","Magnus Johannessen","Left-Back","26","Norway","Hönefoss","Norway","","","","","-"
"1976","2019/2020","Alef","Centre-Back","25","Brazil","","","","","","","-"
"1977","2019/2020","Milivoje Lazic","Left Winger","26","Serbia","Platanias","Greece","Super League 2","","","","-"
"1978","2019/2020","Mykhailo Udod","Centre-Forward","22","Ukraine","","","","Kremin","Ukraine","Persha Liha","-"
"1979","2019/2020","Armin Mir Doraghi","Central Midfield","23","Iran","","","","FC Yerevan","Armenia","Bardsragujn chumb","-"
"1980","2019/2020","Danilo Ambro","Central Midfield","20","Italy","Palermo U19","Italy","","Palermo","Italy","Serie D - I","-"
"1981","2019/2020","Maecky Ngombo","Centre-Forward","24","Belgium","Ascoli","Italy","Serie B","","","","-"
"1982","2019/2020","Sina Dastneshan","Attacking Midfield","31","Iran","","","","Rayka Babol","Iran","Azadegan League","-"
"1983","2019/2020","Morgan Besana","Right-Back","20","Italy","Cavese","Italy","Serie C - C","","","","-"
"1984","2019/2020","Riccardo Novi","Goalkeeper","19","Italy","Ascoli U19","Italy","Primavera 2b","Ascoli","Italy","Serie B","-"
"1985","2019/2020","Abass Mohammed","Left-Back","25","Ghana","","","","Enyimba Aba","Nigeria","NPFL Playoffs","-"
"1986","2019/2020","Marcinho","Attacking Midfield","24","Brazil","Brasil-RS","Brazil","Série B","","","","-"
"1987","2019/2020","Valentino Vermeulen","Centre-Back","18","Netherlands","Eindhoven U19","Netherlands","","FC Eindhoven","Netherlands","Keuken Kampioen Divisie","-"
"1988","2019/2020","Mykyta Khodorchenko","Right-Back","19","Ukraine","Rukh Lviv","Ukraine","Persha Liha","","","","-"
"1989","2019/2020","Timo Bornemann","Centre-Forward","18","Germany","Düsseldorf U19","Germany","U19-Bundesliga West","F. Düsseldorf II","Germany","Regionalliga West","-"
"1990","2019/2020","Gökay Güney","Centre-Back","20","Turkey","Galatasaray U21","Turkey","","Galatasaray","Turkey","Süper Lig","-"
"1991","2019/2020","Viktor Yudin","Attacking Midfield","20","Russia","Mashuk-KMV","Russia","PFL South","","","","-"
"1992","2019/2020","Medjon Hoxha","Attacking Midfield","19","Kosovo","KV Kortrijk","Belgium","Jupiler Pro League","","","","-"
"1993","2019/2020","Jacob Njoku","Second Striker","21","Nigeria","FC Dila","Georgia","Crystalbet Erovnuli Liga","","","","-"
"1994","2019/2020","Kilian Schröcker","Goalkeeper","17","Austria","AKA Salzb. U18","Austria","ÖFB Jugendliga U18","FC Liefering","Austria","2. Liga","-"
"1995","2019/2020","David Affengruber","Forward","18","Austria","AKA Salzb. U18","Austria","ÖFB Jugendliga U18","FC Liefering","Austria","2. Liga","-"
"1996","2019/2020","Eric Voufack","Right-Back","17","Germany","CZ Jena U19","Germany","","CZ Jena II","Germany","NOFV-Oberliga Süd","-"
"1997","2019/2020","Kyan van Dorp","Goalkeeper","19","Netherlands","PSV U19","Netherlands","Preliminary round U19 Eredivisie","PSV U21","Netherlands","Keuken Kampioen Divisie","-"
"1998","2019/2020","Gregory Kuisch","Right-Back","19","Netherlands","PSV U19","Netherlands","Preliminary round U19 Eredivisie","PSV U21","Netherlands","Keuken Kampioen Divisie","-"
"1999","2019/2020","Connor O'Grady","Centre-Back","21","Ireland","Sheff Wed","England","Championship","","","","-"
"2000","2019/2020","Maciej Magdziak","Defensive Midfield","20","Poland","Gornik Polk.","Poland","2 Liga","","","","-"
"2001","2019/2020","Pascal Schmedemann","Left-Back","19","Germany","Magdeburg U19","Germany","U19-Bundesliga Nord/Nordost","1.FC Magdeburg","Germany","3. Liga","-"
"2002","2019/2020","Keanu Wohlfahrt","Right-Back","19","Germany","Burghausen U19","Germany","","W. Burghausen","Germany","Regionalliga Bayern","-"
"2003","2019/2020","Timo Hölscher","Central Midfield","19","Germany","Vikt. Köln U19","Germany","U19-Bundesliga West","Viktoria Köln","Germany","3. Liga","-"
"2004","2019/2020","Dario De Vita","Centre-Back","19","Germany","Vikt. Köln U19","Germany","U19-Bundesliga West","Viktoria Köln","Germany","3. Liga","-"
"2005","2019/2020","Julian Roloff","Goalkeeper","18","Germany","1.FC Köln U19","Germany","U19-Bundesliga West","1.FC Köln II","Germany","Regionalliga West","-"
"2006","2019/2020","Frederic Baum","Defensive Midfield","18","Germany","Aachen U19 ","Germany","U19-Bundesliga West","Alem. Aachen","Germany","Regionalliga West","-"
"2007","2019/2020","Justin Heekeren","Goalkeeper","18","Germany","Oberhausen U19","Germany","U19-Bundesliga West","RW Oberhausen","Germany","Regionalliga West","-"
"2008","2019/2020","Aly Coulibaly","Central Midfield","23","France","Calahorra","Spain","2ª B - Grupo II","","","","-"
"2009","2019/2020","Iduitua David","Left Winger","22","Nigeria","Feirense","Portugal","Liga Pro","","","","-"
"2010","2019/2020","Miguel Gándara","Centre-Back","22","Spain","Racing B ","Spain","","","","","-"
"2011","2019/2020","Emircan Secgin","Goalkeeper","17","Turkey","Galatasaray U17","Turkey","","Galatasaray U19","Turkey","Türkiye Ligi U19 Elit A","-"
"2012","2019/2020","Özgür Ortac","Centre-Back","18","Turkey","Adana Demir U21","Turkey","","","","","-"
"2013","2019/2020","Asim Hamzacebi","Central Midfield","20","Turkey","Istanbul U21","Turkey","","Istanbulspor","Turkey","1.Lig","-"
"2014","2019/2020","Henrique Mepomoceno","Left Winger","21","Brazil","Real Murcia","Spain","2ª B - Grupo IV","","","","-"
"2015","2019/2020","Nacho Lorenzo","Left-Back","21","Spain","Pontevedra","Spain","2ª B - Grupo I","","","","-"
"2016","2019/2020","Nikita Ponomarev","Left Midfield","19","Russia","Lada Togliatti","Russia","PFL Ural-Povolzje","","","","-"
"2017","2019/2020","Damián Jiménez","Left-Back","22","Spain","UD Almería B","Spain","","","","","-"
"2018","2019/2020","Heydar Ali Ahmadzadeh","Left Winger","22","Iran","Sh. Mahshahr","Iran","","","","","-"
"2019","2019/2020","Vladislav Proshkin","Goalkeeper","28","Russia","Kvant Obninsk","Russia","PFL Central","","","","-"
"2020","2019/2020","Denis Belov","Goalkeeper","36","Russia","Kvant Obninsk","Russia","PFL Central","","","","-"
"2021","2019/2020","Evgeni Gurov","Centre-Back","30","Russia","Kvant Obninsk","Russia","PFL Central","","","","-"
"2022","2019/2020","Viktor Dragoy","Centre-Forward","19","Russia","Kvant Obninsk","Russia","PFL Central","","","","-"
"2023","2019/2020","Marcel Ruiz","Attacking Midfield","18","Mexico","Querétaro U20","Mexico","","Querétaro FC","Mexico","Liga MX Apertura","-"
"2024","2019/2020","Theodoros Bifsas","Goalkeeper","21","Greece","Apollon Smyrnis","Greece","","","","","-"
"2025","2019/2020","Nunzio Nicosia","Central Midfield","18","Italy","FC Messina","Italy","Serie D - I","","","","-"
"2026","2019/2020","Nuno Campos","Central Midfield","20","Portugal","","","","Trofense","Portugal","","-"
"2027","2019/2020","Nuno Silva","Goalkeeper","21","Portugal","Mafra","Portugal","Liga Pro","","","","-"
"2028","2019/2020","Andrey Chesnokov","Attacking Midfield","23","Russia","Tekstilshchik","Russia","1.Division","","","","-"
"2029","2019/2020","Vladislav Emeljanov","Right Midfield","18","Russia","Pskov-747","Russia","PFL West","","","","-"
"2030","2019/2020","Nikita Ivanov","Central Midfield","19","Russia","Pskov-747","Russia","PFL West","","","","-"
"2031","2019/2020","Ivan Yurchenko","Centre-Back","18","Russia","Dinamo M II","Russia","U20 Premier Liga","","","","-"
"2032","2019/2020","Dmitri Smirnov","Right-Back","18","Russia","Pskov-747","Russia","PFL West","","","","-"
"2033","2019/2020","Aleksey Sobolev","Right-Back","18","Russia","Pskov-747","Russia","PFL West","","","","-"
"2034","2019/2020","Vladislav Yakovlev","Goalkeeper","20","Russia","Pskov-747","Russia","PFL West","","","","-"
"2035","2019/2020","Daniil Mikheev","Centre-Back","18","Russia","Pskov-747","Russia","PFL West","","","","-"
"2036","2019/2020","Daniil Domnichev","Right-Back","20","Russia","Rotor 2","Russia","PFL Central","","","","-"
"2037","2019/2020","Sergi García","Central Midfield","20","Spain","RCD Espanyol B","Spain","2ª B - Grupo III","","","","-"
"2038","2019/2020","Jesús de Miguel","Centre-Forward","22","Spain","CF Fuenlabrada","Spain","LaLiga2","","","","-"
"2039","2019/2020","Javi Ontiveros","Left Winger","21","Spain","Málaga CF","Spain","LaLiga2","Villarreal","Spain","LaLiga","£6.75m"
"2040","2019/2020","Mert Müldür","Right-Back","20","Turkey","Rapid Vienna","Austria","Bundesliga","Sassuolo","Italy","Serie A","£4.50m"
"2041","2019/2020","Lamine Fomba","Defensive Midfield","21","France","AJ Auxerre","France","Ligue 2","Nîmes Olympique","France","Ligue 1","£3.60m"
"2042","2019/2020","Farouk Miya","Attacking Midfield","21","Uganda","HNK Gorica","Croatia","1.HNL","Konyaspor","Turkey","Süper Lig","£1.35m"
"2043","2019/2020","Jonathan","Left-Back","21","Brazil","Botafogo","Brazil","Série A","UD Almería","Spain","LaLiga2","£900k"
"2044","2019/2020","Davide Merola","Centre-Forward","19","Italy","Inter U19","Italy","Primavera 1","FC Empoli","Italy","Serie B","£450k"
"2045","2019/2020","Jonathan Gradit","Centre-Back","26","France","SM Caen","France","Ligue 2","Lens","France","Ligue 2","£360k"
"2046","2019/2020","Pedro Martín","Centre-Forward","27","Spain","Lleida Esportiu","Spain","2ª B - Grupo III","Gimnàstic","Spain","2ª B - Grupo III","£135k"
"2047","2019/2020","Josh Onomah","Attacking Midfield","22","England","Spurs","England","Premier League","Fulham","England","Championship","draft"
"2048","2019/2020","Enrico Celeghin","Defensive Midfield","20","Italy","Inter U19","Italy","Primavera 1","Como","Italy","Serie C - A","?"
"2049","2019/2020","Alex Ferrero","Left-Back","23","Italy","Benarzole","Italy","","Pinerolo","Italy","","?"
"2050","2019/2020","Tobias Messing","Left-Back","18","Austria","Vorwärts Steyr","Austria","2. Liga","BW Linz II","Austria","","?"
"2051","2019/2020","Jonas Auer","Left Midfield","18","Austria","Slavia Prag","Czech Republic","Fortuna Liga","Mladá Boleslav","Czech Republic","Fortuna Liga","?"
"2052","2019/2020","Nino Köpf","Midfielder","19","Austria","FC Gleisdorf 09","Austria","RL Mitte","TSV Hartberg","Austria","Bundesliga","?"
"2053","2019/2020","Thomas Sabitzer","Centre-Forward","18","Austria","SV Kapfenberg","Austria","2. Liga","LASK","Austria","Bundesliga","?"
"2054","2019/2020","Martin Dimitrov","Goalkeeper","23","Bulgaria","Botev Plovdiv","Bulgaria","Parva Liga","FC Tsarsko Selo","Bulgaria","Parva Liga","?"
"2055","2019/2020","Ilya Viznovich","Centre-Forward","21","Russia","KS Samara","Russia","Premier Liga","Shinnik","Russia","1.Division","?"
"2056","2019/2020","Román Strada","Right Winger","31","Argentina","CA Mitre","Argentina","Primera Nacional","Deportivo Santamarina","Argentina","Primera Nacional","?"
"2057","2019/2020","Umar Bashiru","Central Midfield","21","Ghana","Asante Kotoko","Ghana","","","","","?"
"2058","2019/2020","Stefan Spasojevic","Goalkeeper","25","Montenegro","Zeta Golubovac","Montenegro","Telekom 1. CFL","Iskra D.","Montenegro","Telekom 1. CFL","?"
"2059","2019/2020","Marko Drakul","Defensive Midfield","27","Bosnia-Herzegovina","Zvijezda G.","Bosnia-Herzegovina","Prva liga FBIH","","","","?"
"2060","2019/2020","Romain Montiel","Centre-Forward","24","France","AJ Auxerre","France","Ligue 2","AS Béziers","France","Championnat National","?"
"2061","2019/2020","Andrew Jung","Centre-Forward","21","France","Stade Reims B","France","","LB Châteauroux","France","Ligue 2","?"
"2062","2019/2020","David Basa","Defender","22","Slovakia","Slovan Galanta","Slovakia","","Vinohrady n. V,","Slovakia","","?"
"2063","2019/2020","Radule Krulanovic","Left-Back","20","Montenegro","Sutjeska Niksic","Montenegro","Telekom 1. CFL","Jedinstvo Bijelo Polje","Montenegro","Druga Liga","?"
"2064","2019/2020","Haris Rizvanovic","Right-Back","22","Bosnia-Herzegovina","NK Metalleghe ","Bosnia-Herzegovina","Prva liga FBIH","","","","?"
"2065","2019/2020","Hugo Cointard","Goalkeeper","23","France","Botev Vratsa","Bulgaria","Parva Liga","","","","?"
"2066","2019/2020","Fernando González","Centre-Forward","21","Mexico","América","Mexico","Liga MX Apertura","","","","?"
"2067","2019/2020","Diego Cruz","Right-Back","24","Mexico","Puebla FC","Mexico","Liga MX Apertura","Celaya","Mexico","Ascenso MX Apertura","?"
"2068","2019/2020","Rafik Mednini","Defensive Midfield","23","Tunisia","US Ben Guerdane","Tunisia","Ligue I Pro","Stade Tunisien","Tunisia","Ligue I Pro","?"
"2069","2019/2020","Jefferson Nem","Right Winger","23","Brazil","Guarani","Brazil","Série B","Náutico","Brazil","","?"
"2070","2019/2020","Nikita Kirsanov","Left Midfield","24","Russia","Nosta","Russia","PFL Ural-Povolzje","Veles Moskau","Russia","PFL West","?"
"2071","2019/2020","Klajdi Burba","Forward","20","Albania","FC Drita","Kosovo","IPKO Superliga","","","","?"
"2072","2019/2020","Milos Cupic","Goalkeeper","20","Serbia","Red Star","Serbia","Linglong Tire Super liga Srbije","Zlatibor","Serbia","Prva liga","?"
"2073","2019/2020","Dramé Michailou","Left Winger","26","Burkina Faso","AS Gabès","Tunisia","","","","","-"
"2074","2019/2020","Sergio Laguarta","Left-Back","28","Spain","SD Ejea","Spain","2ª B - Grupo III","","","","-"
"2075","2019/2020","Alireza Ezzati","Defensive Midfield","32","Iran","","","","Baadraan","Iran","Azadegan League","-"
"2076","2019/2020","Khaled Shafiei","Centre-Back","31","Iran","Sepahan","Iran","Persian Gulf Pro League","","","","-"
"2077","2019/2020","Francesco Cernuto","Centre-Back","27","Italy","Venezia","Italy","Serie B","","","","-"
"2078","2019/2020","Edvinas Gertmonas","Goalkeeper","23","Lithuania","Stade Rennais","France","Ligue 1","","","","-"
"2079","2019/2020","Jonathan Hendrickx","Right-Back","25","Belgium","Breidablik","Iceland","Pepsi Max deild","Lommel SK","Belgium","Proximus League","-"
"2080","2019/2020","Kanu","Centre-Back","33","Brazil","Suphanburi FC","Thailand","Thai League","","","","-"
"2081","2019/2020","Álvaro Queijeiro","Central Midfield","26","Spain","UD Melilla","Spain","2ª B - Grupo I","","","","-"
"2082","2019/2020","Kwabena Appiah-Kubi","Right Winger","27","Australia","Newcastle","Australia","A-League","","","","-"
"2083","2019/2020","James Oates","Right-Back","28","Australia","Exeter City","England","League Two","","","","-"
"2084","2019/2020","Emin Mekhtiyev","Right-Back","26","Azerbaijan","","","","Keshla","Azerbaijan","Premyer Liqasi","-"
"2085","2019/2020","Dennis Engel","Right-Back","23","Germany","SV Rödinghausen","Germany","Regionalliga West","Rödinghausen II","Germany","Westfalenliga 1","-"
"2086","2019/2020","Fabian Rüdlin","Defensive Midfield","22","Germany","SC Freiburg II","Germany","Regionalliga Südwest","SC Freiburg","Germany","Bundesliga","-"
"2087","2019/2020","Dejan Cabraja","Right Winger","25","Croatia","AFC Tubize","Belgium","Eerste Amateur","","","","-"
"2088","2019/2020","Sadio Tounkara","Attacking Midfield","27","Mali","Zira FC","Azerbaijan","Premyer Liqasi","","","","-"
"2089","2019/2020","Mikhail Borodjko","Goalkeeper","24","Russia","Nizhny Novgorod","Russia","1.Division","","","","-"
"2090","2019/2020","Lolo González","Central Midfield","27","Spain","Oviedo Vetusta","Spain","2ª B - Grupo I","Real Oviedo","Spain","LaLiga2","-"
"2091","2019/2020","Zalim Makoev","Right-Back","24","Russia","Spartak Nalchik","Russia","PFL South","","","","-"
"2092","2019/2020","Zhasur Narzikulov","Goalkeeper","35","Kazakhstan","","","","Tobol Kostanay","Kazakhstan","Premier Liga","-"
"2093","2019/2020","Omid Khaledi","Left-Back","31","Iran","Saipa FC","Iran","Persian Gulf Pro League","","","","-"
"2094","2019/2020","Mehrdad Bashagerdi","Goalkeeper","34","Iran","Gol Gohar","Iran","Persian Gulf Pro League","","","","-"
"2095","2019/2020","Matej Podstavek","Centre-Back","28","Slovakia","Podbrezova","Slovakia","II. Liga","","","","-"
"2096","2019/2020","Ibrahim Chenihi","Attacking Midfield","29","Algeria","Al-Fateh","Saudi Arabia","Professional League","","","","-"
"2097","2019/2020","Fatih Üge","Right Winger","28","Turkey","Inegölspor","Turkey","2.Lig Beyaz","","","","-"
"2098","2019/2020","Anil Mercan","Attacking Midfield","21","Turkey","","","","Kirsehir Bld","Turkey","2.Lig Kirmizi","-"
"2099","2019/2020","Khalid Al-Kabi","Right-Back","27","Saudi Arabia","Shabab","Saudi Arabia","Professional League","Faisaly","Saudi Arabia","Professional League","-"
"2100","2019/2020","Milovan Kapor","Centre-Back","27","Canada","Gomel","Belarus","Vysheyshaya Liga","","","","-"
"2101","2019/2020","Jiajun Pan","Midfielder","24","China","","","","KS FC","China","League Two South","-"
"2102","2019/2020","Kenneth Ngwoke","Centre-Forward","25","Nigeria","","","","Al-Minaa SC","Iraq","","-"
"2103","2019/2020","Muhammed Öztürk","Centre-Forward","21","Turkey","Besiktas U21","Turkey","","","","","-"
"2104","2019/2020","Jerfeson","Defender","23","Brazil","Campinense-PB","Brazil","","","","","-"
"2105","2019/2020","Adnan Emir Koldere","Left-Back","19","Turkey","Basaksehir U21","Turkey","","","","","-"
"2106","2019/2020","Thiaguinho","Defender","26","Brazil","Tigres","Brazil","","","","","-"
"2107","2019/2020","Facundo Labandeira","Second Striker","23","Uruguay","Nacional","Uruguay","Torneo Intermedio","","","","-"
"2108","2019/2020","Renato Da Silva","Centre-Forward","22","Brazil","CyD Leonesa","Spain","2ª B - Grupo II","","","","-"
"2109","2019/2020","Mateo Rodríguez","Right-Back","26","Uruguay","IC d'Escaldes","Andorra","","","","","-"
"2110","2019/2020","Matheus","Centre-Forward","20","Brazil","Hercílio Luz-SC","Brazil","","","","","-"
"2111","2019/2020","Emre Sofuoglu","Centre-Back","21","Turkey","","","","Silivrispor","Turkey","3.Lig Grup 1","-"
"2112","2019/2020","Ali Majrashi","Defender","19","Saudi Arabia","Al-Shabab U23","Saudi Arabia","","Shabab","Saudi Arabia","Professional League","-"
"2113","2019/2020","Nikolaj Lyngö","Centre-Back","21","Denmark","Hartford","United States","USLC","Jammerbugt FC","Denmark","2.Division","?"
"2114","2019/2020","Junio","Right-Back","22","Brazil","Internacional","Brazil","Série A","Rio Ave FC","Portugal","Liga NOS","?"
"2115","2019/2020","Vadim Chernyi","Defensive Midfield","22","Russia","Fakel Voronezh","Russia","1.Division","KamAZ","Russia","PFL Ural-Povolzje","?"
"2116","2019/2020","Dong-il Lee","Centre-Back","23","Korea, South","Busan IPark","Korea, South","K League 2","Chuncheon FC","Korea, South","","?"
"2117","2019/2020","Iván Ramírez","Central Midfield","29","Argentina","Club Flandria","Argentina","","GyE Mendoza","Argentina","Primera Nacional","?"
"2118","2019/2020","Ariel Kippes","Defender","25","Argentina","CA Sarmiento","Argentina","Primera Nacional","Brown Adrogue","Argentina","Primera Nacional","?"
"2119","2019/2020","Alen Kurtalic","Defensive Midfield","19","Bosnia-Herzegovina","Sloboda Tuzla","Bosnia-Herzegovina","Premijer Liga","","","","?"
"2120","2019/2020","Zdravko Dimitrov","Left Winger","20","Bulgaria","Septemvri Sofia","Bulgaria","","Levski Sofia","Bulgaria","Parva Liga","?"
"2121","2019/2020","Petar Zubak","Centre-Forward","23","Croatia","Allerheiligen","Austria","RL Mitte","A. Klagenfurt","Austria","2. Liga","?"
"2122","2019/2020","Lucas Ramos","Defensive Midfield","24","Brazil","Ap. Larisas","Greece","","PAS Lamia","Greece","Super League","?"
"2123","2019/2020","Maksim Mukhin","Attacking Midfield","17","Russia","KS Samara II","Russia","U20 Premier Liga","Kazanka","Russia","PFL West","?"
"2124","2019/2020","Rinar Valieiev","Central Midfield","31","Ukraine","Olimpik Donetsk","Ukraine","Premier Liga","","","","-"
"2125","2019/2020","Chris Herd","Defensive Midfield","30","Australia","Chennaiyin FC","India","Indian Super League","","","","-"
"2126","2019/2020","Ola Kamara","Centre-Forward","29","Norway","SZ FC","China","Super League","SZ FC Res.","China","","-"
"2127","2019/2020","Mario Ticinovic","Right-Back","27","Croatia","","","","Zrinjski Mostar","Bosnia-Herzegovina","Premijer Liga","-"
"2128","2019/2020","Ignacio Fideleff","Centre-Back","30","Argentina","","","","Santa Lucia FC","Malta","Premier League","-"
"2129","2019/2020","Hany El Egeizy","Centre-Forward","34","Egypt","Muzahimiyyah","Saudi Arabia","","","","","-"
"2130","2019/2020","Hakan Yagmurkaya","Right Winger","28","Turkey","Tuzlaspor","Turkey","2.Lig Kirmizi","","","","-"
"2131","2019/2020","Göksu Alhas","Right-Back","29","Turkey","Adanaspor","Turkey","1.Lig","","","","-"
"2132","2019/2020","Zhen Guan","Goalkeeper","34","China","SZ FC","China","Super League","SZ FC Res.","China","","-"
"2133","2019/2020","Bartosz Szeliga","Right-Back","26","Poland","Termalica","Poland","1 Liga","","","","-"
